罗湖,布心,今日家园,4,2,120,5800,1450,48
罗湖,布心,今日家园,2,1,66,4200,2100,63
罗湖,布心,雍翠华府,2,1,62,4600,2300,74
罗湖,布心,山湖居,3,1,80,5800,1933,72
罗湖,布心,雍翠华府,2,1,52,4500,2250,86
罗湖,布心,龙园山庄,3,2,99,4800,1600,48
罗湖,布心,旭飞华天苑,1,1,27,2100,2100,77
罗湖,布心,龙园山庄,1,1,33,2400,2400,72
罗湖,布心,大地花园,1,1,53,3500,3500,66
罗湖,布心,今日家园,3,1,92,5000,1666,54
罗湖,布心,雍翠华府,2,1,44,4500,2250,102
罗湖,布心,龙园山庄,3,2,110,4500,1500,40
罗湖,布心,长富花园,2,1,53,3500,1750,66
罗湖,布心,松泉公寓,1,1,34,1800,1800,52
罗湖,布心,雍翠华府,2,1,62,4500,2250,72
罗湖,布心,大地花园,2,1,50,3000,1500,60
罗湖,布心,大地花园,2,1,50,3000,1500,60
罗湖,布心,金迪名苑,1,0,26,2500,2500,96
罗湖,布心,松泉公寓,2,1,74,3500,1750,47
罗湖,布心,泰和花园,3,1,90,4800,1600,53
罗湖,布心,旭飞华天苑,1,0,18,1500,1500,83
罗湖,布心,雍翠华府,2,1,44,4100,2050,93
罗湖,布心,丰湖花园,2,1,62,4200,2100,67
罗湖,布心,龙园山庄,3,2,80,4200,1400,52
罗湖,布心,今日家园,3,1,101,5500,1833,54
罗湖,布心,颖隆大厦,2,1,52,3300,1650,63
罗湖,布心,彩世界家园,2,1,68,4500,2250,66
罗湖,布心,君逸华府,3,2,98,7500,2500,76
罗湖,布心,金迪名苑,1,0,26,2500,2500,96
罗湖,布心,碧岭华庭,2,2,74,5800,2900,78
罗湖,布心,博隆大厦,1,1,70,6000,6000,85
罗湖,布心,阳光明居,1,1,35,3000,3000,85
罗湖,布心,布心花园一区,2,1,84,3500,1750,41
罗湖,布心,鹏城花园,3,1,80,4000,1333,50
罗湖,布心,布心花园一区,3,1,84,3500,1166,41
罗湖,布心,松泉山庄,4,1,93,6000,1500,64
罗湖,布心,金迪名苑,1,0,26,2400,2400,92
罗湖,布心,翡翠园,2,1,42,2800,1400,66
罗湖,布心,龙园山庄,2,1,80,3000,1500,37
罗湖,布心,彩世界家园,1,1,47,3600,3600,76
罗湖,布心,旭飞华天苑,1,1,28,2000,2000,71
罗湖,布心,太阳新城,1,1,41,3600,3600,87
罗湖,布心,龙园山庄,1,0,33,2200,2200,66
罗湖,布心,泰和花园,3,2,89,5500,1833,61
罗湖,布心,雍翠华府,2,1,52,4100,2050,78
罗湖,布心,今日家园,4,1,80,7000,1750,87
罗湖,布心,金迪名苑,1,0,26,2600,2600,100
罗湖,布心,雍翠华府,2,1,62,4700,2350,75
罗湖,布心,龙园山庄,3,2,104,3600,1200,34
罗湖,布心,今日家园,3,1,73,4800,1600,65
罗湖,布心,翡翠园,1,1,42,2800,2800,66
罗湖,布心,松泉公寓,1,0,32,2300,2300,71
罗湖,布心,君逸华府,2,1,72,6000,3000,83
罗湖,布心,松泉阁,2,1,60,5000,2500,83
罗湖,布心,大地花园,1,1,51,3000,3000,58
罗湖,布心,山湖居,2,1,73,4300,2150,58
罗湖,布心,太白居,3,1,117,6500,2166,55
罗湖,布心,港鹏新村,3,2,80,3000,1000,37
罗湖,布心,金迪名苑,1,1,37,3200,3200,86
罗湖,布心,金祥都市花园,3,1,87,3900,1300,44
罗湖,布心,大地花园,2,1,50,2800,1400,56
罗湖,布心,君逸华府,2,1,72,5600,2800,77
罗湖,布心,今日家园,2,1,62,4200,2100,67
罗湖,布心,鹏城花园,3,1,81,4000,1333,49
罗湖,布心,雍翠华府,3,1,76,5300,1766,69
罗湖,布心,龙园山庄,1,0,47,1800,1800,38
罗湖,布心,君逸华府,2,2,72,5500,2750,76
罗湖,布心,雍翠华府,2,1,63,4500,2250,71
罗湖,布心,今日家园,2,1,62,4500,2250,72
罗湖,布心,大地花园,1,0,50,3000,3000,60
罗湖,布心,阳光明居,2,2,80,4600,2300,57
罗湖,布心,龙园山庄,2,1,65,4200,2100,64
罗湖,布心,龙园山庄,3,1,81,3600,1200,44
罗湖,布心,龙园山庄,3,1,107,3600,1200,33
罗湖,布心,丰湖花园,2,1,39,3000,1500,76
罗湖,布心,龙园山庄,2,1,70,3400,1700,48
罗湖,布心,淘金山一期,4,2,158,16800,4200,106
罗湖,布心,中华花园,2,2,82,4000,2000,48
