深大北门 大冲新城花园 4室 主卧朝东,大冲新城花园,3388,http://sz.58.com/pinpaigongyu/26927138380720x.shtml
南山 Color公寓茶 1室0厅整租,南山,2730,http://sz.58.com/pinpaigongyu/26607741577035x.shtml
南山 Color公寓茶 1室0厅整租,南山,2730,http://sz.58.com/pinpaigongyu/26607856560951x.shtml
科技园 Color公寓茶 1室0厅整租,科技园,2830,http://sz.58.com/pinpaigongyu/26672545274053x.shtml
福华新村 港田华园 3室 次卧朝南,港田华园,2188,http://sz.58.com/pinpaigongyu/26906499686735x.shtml
景田 景新花园 4室 次卧朝东,景新花园,2030,http://sz.58.com/pinpaigongyu/26453125829687x.shtml
后海 后海花园 3室 次卧朝南,后海花园,2090,http://sz.58.com/pinpaigongyu/26905451473456x.shtml
南油 海典居 7室 次卧朝东,海典居,2590,http://sz.58.com/pinpaigongyu/26686302361269x.shtml
翠竹 美景大厦 3室 主卧朝北,美景大厦,1760,http://sz.58.com/pinpaigongyu/26686835418800x.shtml
科技园 Color公寓 4室 次卧朝东,科技园,2988,http://sz.58.com/pinpaigongyu/26907849322036x.shtml
民治 中航天逸 4室 次卧朝南,中航天逸,1680,http://sz.58.com/pinpaigongyu/26918797719373x.shtml
笋岗 大塘垅小区 4室 主卧朝南,大塘垅小区,2130,http://sz.58.com/pinpaigongyu/26907320280395x.shtml
科技园 泊寓青年社区 1室1厅整租,科技园,2648,http://sz.58.com/pinpaigongyu/26888542939830x.shtml
宝安中心区 第五大道三期 4室 次卧朝南,第五大道三期,1790,http://sz.58.com/pinpaigongyu/26476779255500x.shtml
黄贝岭 海珑华苑 3室 主卧朝南,海珑华苑,1660,http://sz.58.com/pinpaigongyu/26926409644720x.shtml
蛇口 龙电B区 3室 主卧朝西南,龙电B区,2600,http://sz.58.com/pinpaigongyu/26852460246192x.shtml
前海 前海花园 4室 次卧朝南,前海花园,2990,http://sz.58.com/pinpaigongyu/26685217646665x.shtml
水贝 田贝新村 2室1厅整租,田贝新村,3000,http://sz.58.com/pinpaigongyu/26937372949071x.shtml
大冲 大冲都市花园 4室 次卧朝北,大冲都市花园,2160,http://sz.58.com/pinpaigongyu/26452775160390x.shtml
石厦 众孚大厦 3室 主卧朝北,众孚大厦,2390,http://sz.58.com/pinpaigongyu/26452827759941x.shtml
蛇口 龙电B区 3室 主卧朝西南,龙电B区,2600,http://sz.58.com/pinpaigongyu/26852460246192x.shtml
前海 前海花园 4室 次卧朝南,前海花园,2990,http://sz.58.com/pinpaigongyu/26685217646665x.shtml
水贝 田贝新村 2室1厅整租,田贝新村,3000,http://sz.58.com/pinpaigongyu/26937372949071x.shtml
大冲 大冲都市花园 4室 次卧朝北,大冲都市花园,2160,http://sz.58.com/pinpaigongyu/26452775160390x.shtml
石厦 众孚大厦 3室 主卧朝北,众孚大厦,2390,http://sz.58.com/pinpaigongyu/26452827759941x.shtml
水贝 田贝新村 2室2厅整租,田贝新村,3400,http://sz.58.com/pinpaigongyu/26942501430445x.shtml
香蜜湖 雅福居 4室 主卧朝南,雅福居,2690,http://sz.58.com/pinpaigongyu/26917715931698x.shtml
蔡屋围 港逸豪庭 3室1厅整租,港逸豪庭,2290,http://sz.58.com/pinpaigongyu/26816242182331x.shtml
下梅林 合正逸园 4室 次卧朝南,合正逸园,1760,http://sz.58.com/pinpaigongyu/26650493249980x.shtml
黄贝岭 海富花园 3室 主卧朝东南,海富花园,1860,http://sz.58.com/pinpaigongyu/26940496521546x.shtml
科技园 大冲城市花园 4室 次卧朝南,大冲城市花园,2790,http://sz.58.com/pinpaigongyu/26452763401669x.shtml
笋岗 红桂皇冠 1室0厅整租,红桂皇冠,3630,http://sz.58.com/pinpaigongyu/26467990077136x.shtml
南山周边 Color公寓茶 1室0厅整租,南山周边,2988,http://sz.58.com/pinpaigongyu/26938372800074x.shtml
南山 Color公寓茶 1室0厅整租,南山,2730,http://sz.58.com/pinpaigongyu/26607812265779x.shtml
皇岗 国际村 4室 次卧朝南,国际村,1990,http://sz.58.com/pinpaigongyu/26453051261250x.shtml
